tienda,direccion,ciudad,latitud,longitud
RELLENO SANITARIO,"5 Carretera a, Aldama, 31627 Chihuahua, Chih.",CHIHUAHUA,28.69977987,-106.033041
DIPACSA,"Jesus Acevedo Garcia 406, Deportistas, 31125 Chihuahua, Chih.",CHIHUAHUA,28.6922378,-106.1213322
