truck,stops,dumps,total_seconds,total_meters
0,42,6,27690,188870.69999999995
1,40,5,26119,185165.30000000008
2,40,5,27907,220259.90000000002
3,32,4,22141,178120.6
4,32,4,21968,176488.1
5,32,4,25307,236478.99999999994
