truck,stops,dumps,total_seconds,total_meters
0,40,5,26504,194930.79999999996
1,40,5,28218,223946.80000000002
2,40,5,28154,230029.20000000004
3,40,5,28054,221861.59999999998
4,35,5,27008,209974.40000000002
5,23,3,19258,189558.3
