tienda,direccion,ciudad,latitud,longitud
DE LA LLAVE,"CALLE 12 #1801 COL. CENTRO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63013945,-106.0754977
DEL COBRE,"MARIANO ABASOLO NO. 2525, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64195325,-106.0680843
DEPORTISTAS,"AV. TECNOLOGICO NO. 9911 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.69208234,-106.1148913
DEPORTIVA,"AV. TECNOLOGICO NO. 2110, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65598321,-106.0784724
DEZA Y ULLOA,"CALLE DEZA Y ULLOA NO. 3928, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64442662,-106.0997687
DIV. DEL NORTE,"AV. DIVISION DEL NORTE  #800 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.64502653,-106.0919398
DOMINICANA,"AV. LA CANTERA NO. 6300 ESQ. REP. DOMINICANA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64756228,-106.112833
DOSMIL,"AV. HEROICO COLEGIO MILITAR NO. 590, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67710391,-106.0798289
DOSTOIEVSKI,"AV. DOSTOIEVSKI Y OTILIA GARCIA DE NEYRA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.72698074,-106.1178693
DUMAS,"AV. DE LAS INDUSTRIAS (ALEJANDRO DUMAS) ES CALLE MINA EL PROGRESO NO. 16731, CHIHUAHUA, MEXICO",CHIHUAHUA,28.73940694,-106.1182832
EL QUIJOTE,"AV.  DOSTOIEVSKI  # 101 Y AV. DE LA MANCHA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.72429451,-106.1262491
EL TORREON,"AV. PALESTINA NO. 6700, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65196254,-106.031139
ENTRONQUE,"CARRETERA CHIHUAHUA-ALDAMA NO. 16100, CHIHUAHUA, MEXICO",CHIHUAHUA,28.74405832,-105.9832821
ESPERANZA,"AV. SILVESTRE TERRAZAS NO. 11815, CHIHUAHUA, MEXICO",CHIHUAHUA,28.59026187,-106.1109507
ESTRELLA,"AV. JOSE MA. IGLESIAS Y CALLE PINO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66337426,-106.1098412
EVEREST,"CALLE MONTE EVEREST # 12503, CHIHUAHUA, MEXICO",CHIHUAHUA,28.72126568,-106.0941474
FCO. PORTILLO,"FRANCISCO PORTILLO NO. 302 ESQ. CALLE 3a, CHIHUAHUA, MEXICO",CHIHUAHUA,28.60900319,-106.0172934
FERRETERA,"CALLE FRANCISCO VILLA NO. 1501, CHIHUAHUA, MEXICO",CHIHUAHUA,28.60265221,-106.0269476
FERROCARRIL,"2014-11-29 00:00:00, CHIHUAHUA, MEXICO",,28.59695144,-105.9359323
FLORES MAGON,"FLORES MAGON # 4601, CHIHUAHUA, MEXICO",CHIHUAHUA,28.61746566,-106.0807414
FORNARINA,"CALLE ALDAMA  No. 1921 ESQ.CON CALLE 21, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64141967,-106.0707152
FUENTES MARES,"AV FUENTES MARES S/N SECTOR RELOJ, CHIHUAHUA, MEXICO",CHIHUAHUA,28.61979691,-106.0262449
GARCIA VALDEZ,"AV. SN. FELIPE #307 ESQ. C/GARCIA VALDEZ, CHIHUAHUA, MEXICO",CHIHUAHUA,28.6503725,-106.0917643
GIRASOLES,"AV. PALESTINA 10908 ESQ. CON 20, CHIHUAHUA, MEXICO",CHIHUAHUA,28.6726315,-106.0105848
GOMEZ MORIN,"CALLE JOSE AGUSTIN ESCUDERO NO. 2701 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.64893854,-106.0766496
GRUTAS,"VIALIDAD SACRAMENTO  10901 NOM.DIOS, CHIHUAHUA, MEXICO",,28.70992863,-106.0832082
GUADALUPE,"CALLE 5 DE MAYO Y 34 # 3215, CHIHUAHUA, MEXICO",CHIHUAHUA,28.61822532,-106.0926007
