tienda,direccion,ciudad,latitud,longitud
SAUCITO,"AV. FRANCISCO VILLA NO. 6101, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66618945,-106.1268199
SORBONA,"AV. MIRADOR NO. 7713, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64647344,-106.125143
TABALAOPA,"AV. PALESTINA NO. 10908 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.68090183,-106.0024087
TERRAGONA,"AV GUILLERMO PRIETO LUJAN Y CALLE ARCOS DE TERRAGONA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.74400206,-106.1335491
TERRAZAS,"SILVESTRE TERRAZAS No. 8835, CHIHUAHUA, MEXICO",CHIHUAHUA,28.60325896,-106.1016244
TOPACIO,"TOPACIO #10765 VISTAS DE SAN GUILLERMO, 2014-07-29 00:00:00, MEXICO",CHIHUAHUA,28.6274061,-105.951631
TRIBUNAL POPULAR,"AV. H. COLEGIO MILITAR NO. 1000 Y C. T. POPULAR, CHIHUAHUA, MEXICO",CHIHUAHUA,28.70507523,-106.0901807
TRILLENIUM,"LATERAL PERIFERICO DE LA JUVENTUD 3113, CHIHUAHUA, MEXICO",CHIHUAHUA,28.61960972,-106.1083876
TRINIDAD,"CALLE TRINIDAD RODRIGUEZ ESQ AV. DE LAS INDUSTRIAS NO. 65, CHIHUAHUA, MEXICO",CHIHUAHUA,28.68969209,-106.0942384
UNIVERSIDAD,"AV. UNIVERSIDAD # 1104, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64470805,-106.0784372
URUGUAY,"CARRETERA PANAMERICANA Y CALLE URUGUAY NO. 1300, CHIHUAHUA, MEXICO",CHIHUAHUA,28.76745185,-106.1695921
V. CARRANZA,"AV. V. CARRANZA NO. 2621 ESQ. CON 20 DE NOVIEMBRE, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63417791,-106.0656271
VALLARTA,"AV. IGNACIO VALLARTA NO. 4700, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66634874,-106.0987488
VALLE DEL ANGEL,"VALLE DEL ANGEL, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65876613,-106.1304726
VALLE ESCONDIDO,"2014-06-21 00:00:00, CHIHUAHUA, MEXICO",,28.65593977,-106.1493364
VARSOVIA,"AV. MIRADOR ESQ. CON CALLE VARSOVIA NO. 2104, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63603852,-106.0894715
VIALIDAD CH-P,"VIALIDAD CH-P ESQ. CALLE 92 NO. 9912, CHIHUAHUA, MEXICO",CHIHUAHUA,28.60029982,-106.102374
VICTORIA II,"AV. NIÑOS HEROES ESQUINA CON  AV. COLON NO. 3110, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64693502,-106.069081
VILLA,"AV. TECNOLOGICO NO. 375 ESQ. CALLE COLUMBUS, CHIHUAHUA, MEXICO",CHIHUAHUA,28.69054648,-106.1124754
VILLA DEL REY,"AV. DE LOS MONARCAS Y PASEO DEL REAL No. 18100, CHIHUAHUA, MEXICO",CHIHUAHUA,28.74904113,-106.1285766
VILLA DORADA,"CALLE LIBERTADORES NO. 9701 ESQ. JOSE MANZANO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.69158881,-106.1382097
VILLAS DEL REAL,"CALLE PASEO DEL REAL NO. 16700 ESQ CALLE MINA LAS CRUCES, CHIHUAHUA, MEXICO",CHIHUAHUA,28.73669386,-106.1229944
VILLAS DEL SOL,"CALLE CAMPO DEL AGOSTADERO ESQ CON AV. CAMPO DEL NORTE NO. 5600, CHIHUAHUA, MEXICO",CHIHUAHUA,28.69882296,-106.145334
VISTAS DE SAN GUILLERMO,"TOPACIO     VISTAS DE SAN GUILLERMO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.62977502,-105.9566933
VISTAS DEL NORTE ,"C. RIO ARMERIA Y RIO CISNES, CHIHUAHUA, MEXICO",CHIHUAHUA,28.78715189,-106.1581207
VISTAS DEL SOL,"PERIFERICO DE LA JUVENTUD (Plaza Vistas del Sol), CHIHUAHUA, MEXICO",CHIHUAHUA,28.62751429,-106.1184751
VOLVO,"AV. PACHECO NO. 6201, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63429282,-106.0389694
ZARAGOZA,"ZARAGOZA NO. 313 Y CALLE JOSE MARTI, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67244463,-106.1063612
ZARCO,"AV. FLORES MAGON NO. 6210 Y CALLE 66, CHIHUAHUA, MEXICO",CHIHUAHUA,28.6119997,-106.0904062
ZOOTECNIA,"PERIFERICO FRANCISCO R. ALMADA ESQ CON CALLE ZOOLOGIA NO. 1206, CHIHUAHUA, MEXICO",CHIHUAHUA,28.58434962,-106.1021359
Test1,,CHIHUAHUA,28.59364,-105.888562
